scheme,payload_bits,total_bits,ratio_vs_4p25,expert_rel_err_pct,gemm_rel_err_pct,note,rel_mse_vs_fp4,rel_rmse_pct,sqnr_db,times_fp4_noise,weight_rel_err_pct
"VQ dim 4, 16384 entries, E2M1-snapped",3.5,3.75,0.8823529411764706,,,"codebook entries are 4 nibbles: 16384x16 bit LUT, then the existing FP4 decode",0.008217881481812041,9.06525315797195,20.85240126418781,0.6171553005843923,
"VQ dim 4, 32768 entries (15 bit/group)",3.75,4.0,0.9411764705882353,,,"LUT decode: 32768 x 4 float table, fixed rate",0.001916366939615056,4.377632853055468,27.175213300214686,0.14391738518810296,
"VQ dim 4, 32768 entries, E2M1-snapped",3.75,4.0,0.9411764705882353,,,"codebook entries are 4 nibbles: 32768x16 bit LUT, then the existing FP4 decode",0.0025965257966001024,5.095611638066722,25.85607358312359,0.19499668643584803,
[real expert] stored FP4 (baseline),4.0,4.25,1.0,0.0,0.0,,,,,,0.0
[real expert] Lloyd-Max 12 levels,4.0,4.25,1.0,17.83945858478546,10.739218443632126,,,,,,10.747343
[real expert] Lloyd-Max 8 levels,3.0,3.25,0.7647058823529411,38.720858097076416,23.602671921253204,,,,,,23.732883
[real expert] Lloyd-Max 6 levels,3.0,3.25,0.7647058823529411,41.71404838562012,25.591126084327698,,,,,,25.645233
[real expert] Lloyd-Max 4 levels,2.0,2.25,0.5294117647058824,57.588136196136475,36.485108733177185,,,,,,36.57309
[real expert] E2M0: drop the mantissa bit,3.0,3.25,0.7647058823529411,50.25035738945007,25.91088116168976,,,,,,25.937855
"[real expert] 3 bit, top-preserving codebook",3.0,3.25,0.7647058823529411,109.11726951599121,33.41116905212402,,,,,,33.359653
"[real expert] VQ dim 2, 64 entries",3.0,3.25,0.7647058823529411,30.093440413475037,18.414370715618134,,,,,,18.378061
"[real expert] VQ dim 2, 64 entries, E2M1-snapped",3.0,3.25,0.7647058823529411,34.132108092308044,20.803333818912506,,,,,,20.727098
